3039154	El Tarter	42.57952	1.65362
3039163	Sant Julia de Loria	42.46372	1.49129
3039604	Pas de la Casa	42.54277	1.73361
3039678	Ordino	42.55623	1.53319
3040051	les Escaldes	42.50729	1.53414
3040132	la Massana	42.54499	1.51483
3040686	Encamp	42.53474	1.58014
3041204	Canillo	42.5676	1.59756
3041519	Arinsal	42.57205	1.48453
3041563	Andorra la Vella	42.50779	1.52109
290594	Umm al Qaywayn	25.56473	55.55517
291074	Ras al-Khaimah	25.78953	55.9432
291279	Muzayri`	23.14355	53.7881
291696	Khawr Fakkan	25.33132	56.34199
292223	Dubai	25.0657	55.17128
292231	Dibba Al-Fujairah	25.59246	56.26176
292239	Dibba Al-Hisn	25.61955	56.27291
292672	Sharjah	25.33737	55.41206
292688	Ar Ruways	24.11028	52.73056
292878	Al Fujayrah	25.11641	56.34141
292913	Al Ain	24.19167	55.76056
292932	Ajman	25.41111	55.43504
292953	Adh Dhayd	25.28812	55.88157
292968	Abu Dhabi	24.46667	54.36667
1120471	Zorkot	33.54149	69.73446
1120473	Wuleswali Bihsud	34.3436	67.90567
1120483	Kuhsan	34.65389	61.19778
1120484	Lash	35.3782	64.77457
1120487	Tukzar	35.94831	66.42132
1120500	Miray	33.32462	68.44068
1120501	Aq Kupruk	36.08352	66.84029
1120543	Zurmat	33.43778	69.02774
1120616	Zaybak	36.52947	71.3441
1120627	Ziarat-e Shah Maqsud	31.9848	65.4736
1120711	Zindah Jan	34.34264	61.74675
1120863	Zarghun Shahr	32.84734	68.44573
1120879	Zarah Sharan	33.14641	68.79213
1120985	Zaranj	30.95962	61.86037
1121045	Zamto Kelay	32.3726	66.17708
1121271	Yangi Qal`ah	37.46572	69.61131
1121418	Yahya Khel	32.93742	68.64622
1121855	Washer	32.25122	63.85553
1122068	Tormay	33.68847	68.40205
1122189	Tulak	33.97509	63.72868
1122402	Titan	33.69032	63.86361
1122408	Tir Pul	34.59431	61.26895
1122464	Taywarah	33.52118	64.42116
1122705	Bazar-e Tashkan	36.88168	70.27674
1122747	Tarinkot	32.62998	65.87806
1123004	Taloqan	36.73605	69.53451
1123343	Tagaw-Bay	35.69941	66.06164
1123424	Tagab	34.85501	69.64917
1123666	Markaz-e Hukumat-e Sultan-e Bakwah	32.24139	62.94936
1123906	Spin Boldak	31.00575	66.40001
1123935	Sperah	33.20204	69.5152
1123963	Sozmah Qal`ah	36.09916	66.20823
1124621	Siyahgird	35.00553	68.85578
1124973	Sheywah	34.57169	70.58859
1125155	Shindand	33.30294	62.1474
1125267	Shaykh Amir Kelay	33.28744	69.91283
1125362	Qashqal	35.03975	69.00685
1125444	Shibirghan	36.66757	65.7529
1125497	Shwak	33.42386	69.37684
1125866	Shahr-e Safa	31.80347	66.32376
1125890	Shahran	36.97984	70.73928
1125896	Shahrak	34.10737	64.3052
1125962	`Alaqahdari Shah Joy	32.52154	67.41315
1126216	Wuleswali Sayyid Karam	33.69056	69.36881
1126263	Markaz-e Sayyidabad	34.00037	68.71346
1126266	Sayad	36.13529	65.8297
1126606	Sidqabad	35.02298	69.35112
1126710	Sayagaz	32.56521	67.03324
1126796	Sar-e Tayghan	33.50998	65.67632
1126884	Sarobi	34.58962	69.76005
1126935	Sar Kani	34.79023	71.10962
1127001	Sarfiraz Kala	32.98333	67.96517
1127110	Sar-e Pul	36.21544	65.93249
1127451	Sar Chakan	35.70177	65.23055
1127547	Sangin	32.07275	64.8359
1127604	Sang-e Mashah	33.1396	67.44046
1127628	Sang-e Charak	35.84972	66.43694
1127664	Sang Atesh	35.248	63.0044
1127667	Sangar Saray	34.40744	70.63937
1127768	Aibak	36.26468	68.01551
1128186	Ru-ye Sang	35.31999	67.63387
1128239	Rudbar	30.15	62.6
1128265	Rustaq	37.12604	69.83045
1128310	Rabat-e Sangi-ye Pa'in	34.79951	62.13917
1128565	Ramak	33.52234	68.6264
1128954	Qurghan	36.91939	65.0649
1129013	Quchanghi	34.06183	66.27801
1129077	Sangalak-i-Kaisar	35.68747	64.29318
1129516	Qarqin	37.41853	66.04358
1129555	Qarghah'i	34.55402	70.24292
1129636	Qarchi Gak	37.03999	66.78891
1129648	Qarawul	37.21959	68.7802
1129678	Qarah Bagh	34.94023	61.77589
1129680	Qarah Bagh	33.19801	68.10798
1129867	Qala i Naw	34.98735	63.12891
1129928	Qal`ah-ye Kuf	38.04119	70.47298
